VI,polarization,rmse-mean,r2-mean,rmse-std,r2-std,k1,k2,k3,k4,k5,k6,k7,k8,k9
EVI,sigma0vh,4.288871751706512,-0.024588565848215494,1.0459041375691185,0.15235903975268583,20.689960792093608,7.091369827341933,-6.239599202289869,-5.0466683401395676,-0.5775728662728574,2.6785113159453564,-5.527363283942404,1.4341752761578916,-2.535730130081576
EVI,sigma0vv,4.259002953500999,0.0030560890112651283,1.1085711417409627,0.11165801687873617,15.830754954164544,2.945581867993933,-5.019486764424518,-1.5820751065215117,3.584764811192509,6.451010518545397,-2.4045484823658003,2.1172761782521174,-2.7899147496268832
PVI,sigma0vh,4.2479831116643405,-0.00428856715590884,1.0463110605963966,0.1475132433859875,17.502058835155395,6.994273287447896,-5.399078538143739,-1.4903120236938072,-0.28908328051976184,-0.052336566087374824,-5.516386776984506,2.768332118102623,-10.462960641453837
PVI,sigma0vv,4.224804345624544,0.018815810646011767,1.0957910480592359,0.09962794405829342,13.733948694130484,2.9715104107189374,0.4020565335527492,2.528350523587013,1.4669807289977914,0.6035198197204568,-2.4443924346203594,5.010509301374188,-16.00094287799841
RVI,sigma0vh,4.641968950758956,-0.20927258662688977,1.0350522120836143,0.16863139150391174,16.543125571640868,7.157603958584337,0.9606990125292263,-0.1519656012686909,0.007621955011083962,-0.00013999668968243985,-5.504596645578495,0.02541343153565166,-0.0020004950690618328
RVI,sigma0vv,4.6263251059423975,-0.19446902415468298,1.0848870577969487,0.16108344905901317,10.426419270791929,2.788683766748295,1.5803876176146856,-0.19993253860295573,0.009759157788854141,-0.00017035950609537153,-2.2696824831615388,0.07867558494786353,-0.00386495268435687
SAVI,sigma0vh,4.300747595128362,-0.027259817768544182,1.0661242664273496,0.14242807502279456,20.83639685715451,7.324110196736474,-7.473537833440051,-4.885859785622451,0.5340339501442666,3.9034728236694334,-5.744417465697302,1.6327740251699605,-2.964504462470761
SAVI,sigma0vv,4.2905727005484895,-0.00907857103795846,1.1367980071646022,0.10569683761881288,15.88419532281967,3.1315718302692384,-6.109617253801413,-0.7432918863919603,5.347117451308948,8.13773228270429,-2.5882713520488574,2.331639429970951,-3.221313368316244
NDWI,sigma0vh,4.438003934812415,-0.0877718722759101,1.079867829946852,0.09891331271006083,18.956296922038128,8.11959767859976,-7.040915633567058,-2.513265158858957,5.985877701649116,8.13275746448908,-6.137970424714981,-0.8220337268611241,0.848297867689373
NDWI,sigma0vv,4.4358750790784605,-0.07672229943226024,1.1417365571518119,0.06304589549673627,16.18655619453025,4.206588190755989,-7.368800745912135,-2.0872851727554167,6.667163775636935,8.642302254362074,-2.8234220812120494,-1.7854589199298796,2.084989954120238
NDVI,sigma0vh,4.498410158144672,-0.12047330960195479,1.0875925033664886,0.1166871680283022,24.865595659453085,8.25789546529994,-6.390690025553642,-6.087380160890062,-1.7557144211774447,3.724118501263483,-5.992480547140474,-0.328863838048722,-0.25520063187104103
NDVI,sigma0vv,4.528963113249211,-0.1341311217343944,1.1132596194214364,0.12193427041987491,19.034731334943597,3.964072155785172,-6.403394007336632,-4.68609610580953,0.40123737834816275,5.92951319740294,-2.313145092053688,-1.7600449538776513,1.185672452250755
